Fecha,m,y,i,p,remes,tc
ene-95,51199.701,65.1023,37.25,15.376991,254.5724,5.5133
feb-95,49790.401,60.2942,41.69,16.028707,248.0605,5.6854
mar-95,48489.697,62.9299,69.54,16.973617,287.3645,6.7019
abr-95,47552.861,59.2391,74.75,18.326133,298.9135,6.2996
may-95,46208.179,61.1768,59.17,19.09209,357.7396,5.9627
jun-95,47023.826,61.0823,47.25,19.698024,352.3695,6.2232
jul-95,47948.195,59.7792,40.94,20.099588,342.8993,6.1394
ago-95,47695.904,61.0682,35.14,20.432981,362.2739,6.1909
sep-95,47229.417,60.8477,33.46,20.855643,314.1492,6.3025
oct-95,48479.548,60.2182,40.29,21.284762,324.5033,6.6911
nov-95,53630.092,63.0602,53.16,21.809608,255.5922,7.6584
dic-95,66808.632,65.4135,48.62,22.520167,274.2883,7.6597
ene-96,57939.38,64.5974,40.99,23.329754,313.5091,7.476
feb-96,57416.223,63.2503,38.58,23.874262,281.9257,7.524
mar-96,59381.972,65.0044,41.45,24.399826,337.3185,7.5687
abr-96,57020.629,63.822,35.21,25.09345,393.3877,7.4617
may-96,60448.057,66.569,28.45,25.550842,413.542,7.4326
jun-96,61592.26,65.5782,27.81,25.966902,365.2451,7.5604
jul-96,61319.811,65.9122,31.25,26.336031,373.6705,7.6206
ago-96,60961.975,65.3646,26.51,26.686072,386.0666,7.5115
sep-96,61285.735,65.0377,23.9,27.112751,339.2533,7.544
oct-96,64179.599,67.8246,25.75,27.451168,348.901,7.7263
nov-96,69354.352,68.559,29.57,27.867083,315.6016,7.906
dic-96,83991.071,69.2685,27.23,28.759336,355.2609,7.872
ene-97,76721.284,67.9223,23.55,29.498886,338.6477,7.8271
feb-97,75966.7,66.0157,19.8,29.994598,331.5918,7.8003
mar-97,79259.987,67.0887,21.66,30.367889,381.9072,7.9647
abr-97,77957.542,70.1894,21.35,30.695972,425.5386,7.9074
may-97,80683.76,71.2536,18.42,30.976119,486.6894,7.9006
jun-97,80338.598,70.7176,20.17,31.250957,453.5596,7.9502
jul-97,82743.572,70.4839,18.8,31.523211,441.6863,7.8733
ago-97,82412.963,70.0285,18.93,31.803502,428.9022,7.7828
sep-97,80640.215,70.7516,18.02,32.199613,431.4678,7.7805
oct-97,84679.228,73.2373,17.92,32.456941,421.6681,7.8603
nov-97,91062.806,72.7579,20.16,32.820042,343.4307,8.2689
dic-97,108735.629,73.7804,18.85,33.279875,379.755,8.1219
ene-98,98998.035,72.2813,17.95,34.003924,382.5317,8.2177
feb-98,97929.388,71.2676,18.74,34.599238,366.3982,8.5014
mar-98,95415.386,75.3075,19.85,35.004533,427.1949,8.5676
abr-98,98682.378,72.9524,19.03,35.332042,439.995,8.4965
may-98,101306.512,75.138,17.91,35.613481,520.3739,8.5934
jun-98,99023.172,74.6452,19.5,36.03442,503.4876,8.9131
jul-98,102686.377,74.6145,20.08,36.381878,494.3256,8.896
ago-98,101366.131,73.4793,22.64,36.731632,486.607,9.3633
sep-98,99913.243,73.7673,40.8,37.327376,476.2905,10.2307
oct-98,104952.696,74.4642,34.86,37.862269,454.6739,10.1536
nov-98,108649.728,74.4434,32.12,38.532786,460.6924,9.9682
dic-98,131108.754,75.6774,33.66,39.472974,614.271,9.9057
ene-99,121597.697,74.2838,32.13,40.46977,399.6423,10.1351
feb-99,118703.399,72.7094,28.76,41.013643,388.8511,9.9939
mar-99,124616.058,76.9921,23.47,41.394684,464.8977,9.7316
abr-99,118254.068,74.3292,20.29,41.774577,469.1828,9.4185
may-99,122188.242,76.923,19.89,42.025877,571.562,9.4105
jun-99,121793.638,76.5567,21.08,42.302006,521.9225,9.5139
jul-99,127277.755,76.3126,19.78,42.58158,506.6642,9.3657
ago-99,125463.46,75.67,20.54,42.821255,532.0997,9.3966
sep-99,127433.524,76.2478,19.71,43.235018,490.4829,9.3358
oct-99,133978.825,76.4547,17.87,43.508851,474.5069,9.5667
nov-99,140288.088,77.6701,16.96,43.895776,502.0073,9.3988
dic-99,188718.25,78.0535,16.45,44.335516,587.7353,9.4249
ene-00,157161.287,77.93,16.19,44.93083,456.2456,9.4878
feb-00,150126.022,77.3673,15.81,45.32938,447.187,9.4252
mar-00,152919.896,80.358,13.66,45.580681,494.4502,9.2876
abr-00,158846.323,77.0076,12.93,45.840018,498.8308,9.3903
may-00,157679.406,82.3433,14.18,46.011379,590.7496,9.5158
jun-00,165529.481,81.5415,15.65,46.28392,541.5775,9.8295
jul-00,162172.83,79.6297,13.73,46.464466,557.598,9.4212
ago-00,157692.618,81.1907,15.23,46.719785,608.0612,9.2709
sep-00,161376.238,80.1649,15.06,47.061072,568.5493,9.354
oct-00,162822.86,80.8096,15.88,47.385136,559.5235,9.5314
nov-00,175112.072,80.9162,17.56,47.790288,583.1218,9.5004
dic-00,208879.867,79.4983,17.05,48.307671,666.8485,9.4659
ene-01,181718.698,79.4235,17.89,48.575476,654.982,9.7766
feb-01,175896.436,76.4193,17.34,48.543328,637.6737,9.7045
mar-01,176028.084,80.7679,15.8,48.850888,718.055,9.6006
abr-01,174570.67,77.5312,14.96,49.097309,734.8058,9.3268
may-01,178269.919,81.7841,11.95,49.20997,798.2438,9.1372
jun-01,180702.903,80.607,9.43,49.326364,747.837,9.0867
jul-01,178256.186,79.3253,9.39,49.198202,796.5951,9.1618
